Date,Phosphorus_Begin,Phosphorus_AF,Phosphorus_End,phase
5/31/15,2.428612222,40.75171331,6.151484866,alternating
6/1/15,3.003283838,27.88906339,2.728440891,alternating
6/2/15,8.150342661,19.36893204,13.44731582,alternating
6/3/15,1.953883495,19.66876071,0.104940034,alternating
6/4/15,0,22.26727584,0,alternating
6/5/15,2.728440891,23.91633352,0,alternating
6/9/15,1.753997716,23.6664763,0,alternating
6/10/15,2.00385494,21.41776128,0,alternating
6/11/15,3.852798401,23.09180468,0,alternating
6/12/15,2.803398058,23.84137636,0.379782981,alternating
6/13/15,2.853369503,22.96687607,0.304825814,alternating
6/14/15,3.053255283,23.84137636,0.229868646,alternating
6/15/15,5.951599086,21.19288978,0.179897202,alternating
6/16/15,2.703455168,23.64149058,0.454740148,alternating
6/17/15,2.778412336,22.46716162,0.504711593,alternating
6/18/15,2.803398058,22.59209023,0.404768704,alternating
6/19/15,2.803398058,22.91690463,0.479725871,alternating
6/22/15,1.978869218,13.37235865,0.379782981,alternating
6/23/15,2.703455168,16.27070246,0.454740148,alternating
6/24/15,3.32809823,24.49100514,0,alternating
6/25/15,3.32809823,22.49214734,0.154911479,alternating
6/28/15,3.32809823,22.49214734,0,alternating
6/30/15,2.278697887,19.61878926,0.229868646,alternating
7/1/15,3.053255283,24.4410337,0,alternating
7/2/15,0,23.61650485,0,alternating
7/6/15,3.078241005,26.53983438,0.554683038,alternating
7/8/15,3.303112507,23.16676185,0,alternating
7/9/15,1.953883495,23.69146202,0.229868646,alternating
7/10/15,2.053826385,25.31553398,0.204882924,alternating
7/12/15,3.353083952,27.3843518,0,alternating
7/13/15,1.853940605,26.93960594,0.154911479,alternating
7/16/15,4.15262707,27.36436322,0,continuous
7/19/15,2.303683609,29.16333524,0,continuous
7/21/15,3.053255283,21.09294689,0,continuous
7/22/15,3.178183895,21.09294689,0,continuous
7/24/15,3.178183895,21.94246145,0,continuous
7/28/15,2.878355226,25.26556254,0,continuous
7/30/15,2.803398058,24.81581953,0.054968589,continuous
8/3/15,3.12821245,22.76699029,0,continuous
8/4/15,3.12821245,24.84080525,0,continuous
8/5/15,2.578526556,23.71644774,0.429754426,continuous
8/6/15,2.778412336,23.81639063,0.304825814,continuous
